policy,budget_pct,customers_targeted,rescue_rate,targeted_churn_rate,avg_targeted_value,expected_retained_value,realized_retained_value_proxy,total_cost,expected_profit,roi,realized_profit_proxy
score_risk_only,0.05,52,0.1,0.8269230769230769,990.1153846153846,4630.111544312239,4200.54,2860,1770.111544312239,0.6189201203888948,1340.54
score_risk_only,0.05,52,0.2,0.8269230769230769,990.1153846153846,9260.223088624478,8401.08,2860,6400.223088624478,2.2378402407777895,5541.08
score_risk_only,0.05,52,0.3,0.8269230769230769,990.1153846153846,13890.334632936716,12601.619999999999,2860,11030.334632936716,3.856760361166684,9741.619999999999
score_risk_only,0.1,105,0.1,0.7904761904761904,971.9885714285715,8174.7692523515225,7946.820000000001,5775,2399.7692523515225,0.4155444592816489,2171.8200000000006
score_risk_only,0.1,105,0.2,0.7904761904761904,971.9885714285715,16349.538504703045,15893.640000000001,5775,10574.538504703045,1.831088918563298,10118.640000000001
score_risk_only,0.1,105,0.3,0.7904761904761904,971.9885714285715,24524.307757054565,23840.46,5775,18749.307757054565,3.246633377844946,18065.46
score_risk_only,0.15,158,0.1,0.7341772151898734,941.2860759493672,10953.337426615477,10903.98,8690,2263.337426615477,0.2604530985748535,2213.9799999999996
score_risk_only,0.15,158,0.2,0.7341772151898734,941.2860759493672,21906.674853230954,21807.96,8690,13216.674853230954,1.520906197149707,13117.96
score_risk_only,0.15,158,0.3,0.7341772151898734,941.2860759493672,32860.01227984643,32711.940000000002,8690,24170.01227984643,2.78135929572456,24021.940000000002
score_risk_value,0.05,52,0.1,0.7692307692307693,1097.4115384615384,4904.5965477705,4360.620000000001,2860,2044.5965477705004,0.7148938978218533,1500.6200000000008
score_risk_value,0.05,52,0.2,0.7692307692307693,1097.4115384615384,9809.193095541,8721.240000000002,2860,6949.193095541001,2.4297877956437066,5861.240000000002
score_risk_value,0.05,52,0.3,0.7692307692307693,1097.4115384615384,14713.7896433115,13081.859999999997,2860,11853.7896433115,4.14468169346556,10221.859999999997
score_risk_value,0.1,105,0.1,0.7142857142857143,1071.2457142857143,8587.750924825788,7927.9800000000005,5775,2812.7509248257884,0.4870564371992707,2152.9800000000005
score_risk_value,0.1,105,0.2,0.7142857142857143,1071.2457142857143,17175.501849651577,15855.960000000001,5775,11400.501849651577,1.9741128743985414,10080.960000000001
score_risk_value,0.1,105,0.3,0.7142857142857143,1071.2457142857143,25763.25277447736,23783.94,5775,19988.25277447736,3.4611693115978115,18008.94
score_risk_value,0.15,158,0.1,0.689873417721519,1057.7050632911394,11680.150665865662,11347.259999999998,8690,2990.1506658656617,0.34409098571526603,2657.2599999999984
score_risk_value,0.15,158,0.2,0.689873417721519,1057.7050632911394,23360.301331731323,22694.519999999997,8690,14670.301331731323,1.688181971430532,14004.519999999997
score_risk_value,0.15,158,0.3,0.689873417721519,1057.7050632911394,35040.451997596974,34041.78,8690,26350.451997596974,3.0322729571457967,25351.78
score_risk_value_weighted,0.05,52,0.1,0.7307692307692307,1124.0192307692307,4817.5634433496,4258.4400000000005,2860,1957.5634433495998,0.68446274242993,1398.4400000000005
score_risk_value_weighted,0.05,52,0.2,0.7307692307692307,1124.0192307692307,9635.1268866992,8516.880000000001,2860,6775.1268866991995,2.3689254848598598,5656.880000000001
score_risk_value_weighted,0.05,52,0.3,0.7307692307692307,1124.0192307692307,14452.6903300488,12775.320000000002,2860,11592.6903300488,4.05338822728979,9915.320000000002
score_risk_value_weighted,0.1,105,0.1,0.7142857142857143,1080.6228571428571,8548.505933599234,7988.220000000001,5775,2773.5059335992337,0.480260767722811,2213.220000000001
score_risk_value_weighted,0.1,105,0.2,0.7142857142857143,1080.6228571428571,17097.011867198467,15976.440000000002,5775,11322.011867198467,1.960521535445622,10201.440000000002
score_risk_value_weighted,0.1,105,0.3,0.7142857142857143,1080.6228571428571,25645.517800797697,23964.66,5775,19870.517800797697,3.4407823031684326,18189.66
score_risk_value_weighted,0.15,158,0.1,0.689873417721519,1057.7050632911394,11680.150665865662,11347.260000000002,8690,2990.1506658656617,0.34409098571526603,2657.260000000002
score_risk_value_weighted,0.15,158,0.2,0.689873417721519,1057.7050632911394,23360.301331731323,22694.520000000004,8690,14670.301331731323,1.688181971430532,14004.520000000004
score_risk_value_weighted,0.15,158,0.3,0.689873417721519,1057.7050632911394,35040.451997596974,34041.78,8690,26350.451997596974,3.0322729571457967,25351.78
